cds,stype,name,sname,snum,dname,dnum,cname,cnum,flag,pcttest,api00,api99,target,growth,sch.wide,comp.imp,both,awards,meals,ell,yr.rnd,mobility,acs.k3,acs.46,acs.core,pct.resp,not.hsg,hsg,some.col,col.grad,grad.sch,avg.ed,full,emer,enroll,api.stu
15633216008841,M,Chipman Junior ,Chipman Junior High,869,Bakersfield City Elem,41,Kern,14,NA,100,690,642,8,48,Yes,Yes,Yes,Yes,49,15,NA,20,NA,NA,30,2,15,46,15,23,0,2.4600000381469727,74,26,767,607
15633216008858,E,Harris (Carolin,Harris (Caroline) Elementary,870,Bakersfield City Elem,41,Kern,14,NA,96,643,527,14,116,Yes,Yes,Yes,Yes,79,28,NA,27,20,29,NA,5,0,43,48,10,0,2.6700000762939453,90,13,403,288
15633216008866,E,Casa Loma Eleme,Casa Loma Elementary,871,Bakersfield City Elem,41,Kern,14,NA,97,520,529,14,-9,No,No,No,No,96,31,NA,35,18,21,NA,0,0,0,0,0,0,NA,77,23,381,279
15633216008874,E,Evergreen Eleme,Evergreen Elementary,872,Bakersfield City Elem,41,Kern,14,NA,97,594,509,15,85,Yes,Yes,Yes,Yes,78,18,NA,34,18,29,NA,1,50,50,0,0,0,1.5,85,11,349,259
15633216008882,E,College Heights,College Heights Elementary,873,Bakersfield City Elem,41,Kern,14,NA,95,552,494,15,58,Yes,Yes,Yes,Yes,95,51,NA,51,14,28,NA,0,0,0,0,0,0,NA,80,25,497,352
15633216008890,E,Nichols (Colone,Nichols (Colonel Howard) Elementary,874,Bakersfield City Elem,41,Kern,14,NA,96,653,664,7,-11,No,No,No,No,58,13,NA,38,19,33,NA,0,0,0,0,0,0,NA,94,6,593,419
15633216008916,M,Emerson Junior ,Emerson Junior High,875,Bakersfield City Elem,41,Kern,14,NA,97,493,450,18,43,Yes,No,No,No,94,24,NA,49,NA,35,28,7,84,16,0,0,0,1.159999966621399,62,43,756,449
15633216008924,E,Frank West Elem,Frank West Elementary,876,Bakersfield City Elem,41,Kern,14,NA,96,571,487,16,84,Yes,Yes,Yes,Yes,90,27,NA,27,20,30,NA,3,36,45,9,9,0,1.909999966621399,87,11,418,315
15633216008932,E,Franklin Elemen,Franklin Elementary,877,Bakersfield City Elem,41,Kern,14,NA,98,636,598,10,38,Yes,Yes,Yes,Yes,75,9,NA,34,18,27,NA,0,0,0,0,0,0,NA,89,15,379,287
15633216008940,E,Fremont Element,Fremont Elementary,878,Bakersfield City Elem,41,Kern,14,NA,98,506,470,17,36,Yes,Yes,Yes,Yes,96,40,NA,32,17,24,NA,0,0,0,0,0,0,NA,84,16,708,537
15633216008957,M,Sequoia Middle,Sequoia Middle,879,Bakersfield City Elem,41,Kern,14,NA,95,525,484,16,41,Yes,No,No,No,82,27,NA,27,NA,28,28,0,0,100,0,0,0,2,74,24,870,627
15633216008965,E,Harding Element,Harding Elementary,880,Bakersfield City Elem,41,Kern,14,NA,98,707,654,7,53,Yes,Yes,Yes,Yes,56,10,NA,25,18,25,NA,0,0,0,0,0,0,NA,96,0,379,309
15633216008973,E,Eissler (Henry),Eissler (Henry) Elementary,881,Bakersfield City Elem,41,Kern,14,NA,97,663,562,12,101,Yes,Yes,Yes,Yes,59,24,NA,27,18,30,NA,0,0,100,0,0,0,2,94,9,435,316
15633216008981,E,Horace Mann Ele,Horace Mann Elementary,882,Bakersfield City Elem,41,Kern,14,NA,100,495,503,15,-8,No,No,No,No,94,43,NA,35,16,27,NA,0,0,0,0,0,0,NA,88,16,505,388
15633216008999,E,Hort Elementary,Hort Elementary,883,Bakersfield City Elem,41,Kern,14,NA,95,702,685,6,17,Yes,Yes,Yes,Yes,74,12,NA,36,20,28,NA,0,0,0,0,0,0,NA,84,16,416,317
15633216009005,M,Curran Junior H,Curran Junior High,884,Bakersfield City Elem,41,Kern,14,NA,98,601,538,13,63,Yes,Yes,Yes,Yes,80,19,NA,29,NA,27,30,1,40,20,20,20,0,2.200000047683716,86,14,890,595
15633216009013,E,Jefferson Eleme,Jefferson Elementary,885,Bakersfield City Elem,41,Kern,14,NA,95,543,494,15,49,Yes,Yes,Yes,Yes,97,49,NA,37,20,33,NA,0,0,0,0,0,0,NA,86,14,334,256
15633216009021,M,Compton Junior ,Compton Junior High,886,Bakersfield City Elem,41,Kern,14,NA,93,602,614,9,-12,No,No,No,No,64,28,NA,31,NA,NA,29,4,85,11,4,0,0,1.190000057220459,88,12,665,476
15633216009047,E,Pauly (Leo G.) ,Pauly (Leo G.) Elementary,887,Bakersfield City Elem,41,Kern,14,NA,99,546,472,16,74,Yes,Yes,Yes,Yes,97,29,NA,36,17,25,NA,0,0,0,0,0,0,NA,68,29,395,278
15633216009062,E,Longfellow Elem,Longfellow Elementary,888,Bakersfield City Elem,41,Kern,14,NA,98,478,425,19,53,Yes,Yes,Yes,Yes,89,30,NA,44,18,31,NA,0,50,50,0,0,0,1.5,87,13,520,364
15633216009070,E,McKinley Elemen,McKinley Elementary,889,Bakersfield City Elem,41,Kern,14,NA,99,570,501,15,69,Yes,Yes,Yes,Yes,92,21,NA,33,15,32,NA,0,0,0,0,0,0,NA,79,19,463,383
15633216009088,E,Mt. Vernon Elem,Mt. Vernon Elementary,890,Bakersfield City Elem,41,Kern,14,NA,98,545,479,16,66,Yes,Yes,Yes,Yes,91,37,NA,19,15,30,NA,0,0,0,0,0,0,NA,79,21,674,570
15633216009096,E,Munsey Elementa,Munsey Elementary,891,Bakersfield City Elem,41,Kern,14,NA,92,530,507,15,23,Yes,No,No,No,85,23,NA,36,19,32,NA,1,17,83,0,0,0,1.8300000429153442,81,19,453,292
15633216009104,E,Noble (Myra A.),Noble (Myra A.) Elementary,892,Bakersfield City Elem,41,Kern,14,NA,96,522,434,18,88,Yes,Yes,Yes,Yes,93,37,NA,32,19,31,NA,0,0,0,0,0,0,NA,76,24,540,412
15633216009120,E,Pioneer Drive E,Pioneer Drive Elementary,893,Bakersfield City Elem,41,Kern,14,NA,96,520,432,18,88,Yes,Yes,Yes,Yes,97,39,NA,25,18,29,NA,0,100,0,0,0,0,1,76,26,479,369
15633216009138,E,Owens (Bessie E,Owens (Bessie E.) Primary (Elem),894,Bakersfield City Elem,41,Kern,14,NA,99,549,567,12,-18,No,No,No,No,90,54,NA,37,18,NA,NA,0,0,0,0,0,0,NA,67,31,318,224
15633216009146,E,Roosevelt Eleme,Roosevelt Elementary,895,Bakersfield City Elem,41,Kern,14,NA,98,554,534,13,20,Yes,No,No,No,90,30,NA,44,18,28,NA,2,100,0,0,0,0,1,87,13,314,227
15633216009153,M,Sierra Junior H,Sierra Junior High,896,Bakersfield City Elem,41,Kern,14,NA,99,526,478,16,48,Yes,Yes,Yes,Yes,95,40,NA,49,NA,25,26,0,0,0,0,0,0,NA,68,36,836,597
15633216009161,E,Voorhies Elemen,Voorhies Elementary,897,Bakersfield City Elem,41,Kern,14,NA,94,483,421,19,62,Yes,Yes,Yes,No,96,44,NA,31,19,32,NA,3,46,38,15,0,0,1.690000057220459,73,27,403,296
15633216009179,M,Washington Juni,Washington Junior High,898,Bakersfield City Elem,41,Kern,14,NA,97,523,509,15,14,No,No,No,No,86,21,NA,57,NA,30,26,0,0,100,0,0,0,2,84,23,598,354
15633216009187,E,Wayside Element,Wayside Elementary,899,Bakersfield City Elem,41,Kern,14,NA,98,626,531,13,95,Yes,Yes,Yes,Yes,97,31,NA,25,19,31,NA,0,0,0,0,0,0,NA,85,18,415,335
15633216009195,E,William Penn El,William Penn Elementary,900,Bakersfield City Elem,41,Kern,14,NA,96,644,554,12,90,Yes,Yes,Yes,Yes,87,18,NA,42,19,30,NA,0,0,0,0,0,0,NA,89,11,214,151
15633216009203,E,Williams Elemen,Williams Elementary,901,Bakersfield City Elem,41,Kern,14,NA,94,495,429,19,66,Yes,Yes,Yes,No,98,50,NA,60,19,29,NA,0,0,0,100,0,0,3,89,17,382,249
15633216109052,E,Garza (Ramon) E,Garza (Ramon) Elementary,902,Bakersfield City Elem,41,Kern,14,NA,100,486,476,16,10,No,No,No,No,95,44,NA,28,18,27,NA,6,76,24,0,0,0,1.2400000095367432,83,12,559,444
15633216109060,E,Hills (Stella I,Hills (Stella I.) Elementary,903,Bakersfield City Elem,41,Kern,14,NA,98,525,477,16,48,Yes,Yes,Yes,Yes,94,15,NA,47,19,28,NA,0,0,0,0,0,0,NA,88,12,382,245
15633216109078,E,Thorner (Dr. Ju,Thorner (Dr. Juliet) Elementary,904,Bakersfield City Elem,41,Kern,14,NA,98,731,731,3,0,No,No,No,No,45,2,NA,15,19,31,NA,0,0,0,0,0,0,NA,93,8,583,510
15633216111264,M,Stiern (Walter),Stiern (Walter) Middle,905,Bakersfield City Elem,41,Kern,14,NA,99,539,487,16,52,Yes,Yes,Yes,Yes,89,32,NA,29,NA,28,29,4,57,20,15,9,0,1.7599999904632568,92,11,1067,768
15633216111900,E,Chavez (Cesar E,Chavez (Cesar E.) Elementary,906,Bakersfield City Elem,41,Kern,14,NA,97,693,600,10,93,Yes,Yes,Yes,Yes,67,9,NA,11,16,22,NA,0,0,0,0,0,0,NA,76,24,247,218
15633396009211,E,Beardsley Inter,Beardsley Intermediate,907,Beardsley Elementary,51,Kern,14,NA,99,586,540,13,46,Yes,Yes,Yes,Yes,82,7,NA,27,NA,29,NA,100,44,44,9,2,1,1.7300000190734863,88,12,507,347
15633396009229,M,Beardsley Junio,Beardsley Junior High,908,Beardsley Elementary,51,Kern,14,NA,100,634,602,10,32,Yes,Yes,Yes,Yes,74,2,NA,18,NA,NA,26,97,34,43,16,7,0,1.9700000286102295,93,7,318,250
15633396009237,E,North Beardsley,North Beardsley Elementary,909,Beardsley Elementary,51,Kern,14,NA,100,625,573,11,52,Yes,Yes,Yes,Yes,83,6,NA,23,19,NA,NA,100,51,44,5,0,0,1.5499999523162842,89,11,362,272
15633626009260,E,Buena Vista Ele,Buena Vista Elementary,910,Panama Buena Vista Elem,537,Kern,14,NA,100,811,758,2,53,Yes,Yes,Yes,Yes,12,1,NA,14,20,27,NA,98,6,44,22,22,6,2.7899999618530273,100,0,311,288
15633626009922,E,Seibert (Amy B.,Seibert (Amy B.) Elementary,911,Panama Buena Vista Elem,537,Kern,14,NA,100,719,646,8,73,Yes,Yes,Yes,Yes,63,12,NA,25,19,25,NA,98,27,47,18,7,1,2.0799999237060547,97,0,473,360
15633626009930,M,Thompson (Fred ,Thompson (Fred L.) Junior High,912,Panama Buena Vista Elem,537,Kern,14,NA,100,653,629,9,24,Yes,Yes,Yes,Yes,44,9,NA,20,NA,NA,25,91,13,30,30,23,5,2.7799999713897705,89,11,738,589
15633626009948,E,Panama Elementa,Panama Elementary,913,Panama Buena Vista Elem,537,Kern,14,NA,99,731,711,4,20,Yes,Yes,Yes,Yes,41,7,NA,27,19,29,NA,99,25,47,13,13,3,2.2300000190734863,97,3,543,408
15633626009955,E,Stine Elementar,Stine Elementary,914,Panama Buena Vista Elem,537,Kern,14,NA,98,687,638,8,49,Yes,Yes,Yes,Yes,62,6,NA,25,18,25,NA,98,26,54,14,5,0,2,98,2,535,422
15633626066674,E,Van Horn (Wayne,Van Horn (Wayne) Elementary,915,Panama Buena Vista Elem,537,Kern,14,NA,98,746,708,5,38,Yes,No,No,No,52,4,NA,30,19,26,NA,100,26,43,14,14,3,2.2300000190734863,100,3,399,288
15633626095012,E,Castle (Charles,Castle (Charles H.) Elementary,916,Panama Buena Vista Elem,537,Kern,14,NA,100,688,678,6,10,Yes,No,No,No,53,3,NA,19,19,28,NA,100,13,64,15,7,1,2.190000057220459,100,0,538,465
15633626096986,E,Stockdale Eleme,Stockdale Elementary,917,Panama Buena Vista Elem,537,Kern,14,NA,99,870,852,NA,18,Yes,Yes,Yes,Yes,7,2,NA,20,19,29,NA,100,6,26,23,34,11,3.180000066757202,96,7,337,278
15633626099428,M,Actis (O.J.) Ju,Actis (O.J.) Junior High,918,Panama Buena Vista Elem,537,Kern,14,NA,99,744,752,2,-8,No,No,No,No,30,3,NA,17,NA,NA,25,93,6,20,37,23,15,3.2200000286102295,96,4,578,465
15633626099436,E,Sandrini (Louis,Sandrini (Louise) Elementary,919,Panama Buena Vista Elem,537,Kern,14,NA,99,739,695,5,44,Yes,Yes,Yes,Yes,57,5,NA,20,18,25,NA,95,22,48,19,8,2,2.200000047683716,98,3,489,403
15633626104632,E,Sing Lum Elemen,Sing Lum Elementary,920,Panama Buena Vista Elem,537,Kern,14,NA,98,774,716,4,58,Yes,Yes,Yes,Yes,28,2,NA,21,18,27,NA,94,5,50,23,20,3,2.6600000858306885,100,0,540,451
15633626105423,E,Laurelglen Elem,Laurelglen Elementary,921,Panama Buena Vista Elem,537,Kern,14,NA,100,861,813,NA,48,Yes,Yes,Yes,Yes,18,1,NA,16,19,26,NA,97,5,24,28,34,9,3.180000066757202,100,0,487,428
15633626107619,M,Tevis Junior Hi,Tevis Junior High,922,Panama Buena Vista Elem,537,Kern,14,NA,99,807,802,NA,5,Yes,Yes,Yes,Yes,11,2,NA,11,NA,NA,27,96,1,33,24,32,10,3.180000066757202,97,3,804,708
15633626107627,E,Hart (Leo B.) E,Hart (Leo B.) Elementary,923,Panama Buena Vista Elem,537,Kern,14,NA,100,889,867,NA,22,Yes,Yes,Yes,Yes,9,4,NA,15,20,30,NA,98,7,32,27,27,6,2.9100000858306885,100,0,385,339
15633626108187,E,Loudon (Roy W.),Loudon (Roy W.) Elementary,924,Panama Buena Vista Elem,537,Kern,14,NA,99,737,706,5,31,Yes,Yes,Yes,Yes,43,2,NA,17,19,27,NA,97,13,54,22,9,2,2.3299999237060547,100,0,526,450
15633626110001,E,McAuliffe (Chri,McAuliffe (Christa) Elementary,925,Panama Buena Vista Elem,537,Kern,14,NA,100,839,852,NA,-13,Yes,No,No,No,18,4,NA,19,19,27,NA,100,12,49,35,4,1,2.3399999141693115,100,0,519,432
15633626112262,M,Warren (Earl) J,Warren (Earl) Jr. High,926,Panama Buena Vista Elem,537,Kern,14,NA,100,713,691,5,22,Yes,No,No,No,28,5,NA,12,NA,NA,26,94,8,26,32,22,12,3.0399999618530273,93,7,630,536
15633626113401,E,Williams (Bill ,Williams (Bill L.) Elementary,927,Panama Buena Vista Elem,537,Kern,14,NA,99,767,699,5,68,Yes,Yes,Yes,Yes,40,6,NA,18,19,28,NA,97,13,50,24,12,1,2.380000114440918,98,0,529,454
15633626115257,E,Reagan (Ronald),Reagan (Ronald) Elementary,928,Panama Buena Vista Elem,537,Kern,14,NA,100,822,799,1,23,Yes,Yes,Yes,Yes,18,1,NA,34,18,30,NA,97,10,33,18,19,20,3.0799999237060547,90,10,278,212
15633706009278,E,Buttonwillow El,Buttonwillow Elementary,929,Buttonwillow Union Elem,95,Kern,14,NA,100,559,528,14,31,Yes,Yes,Yes,Yes,85,49,NA,10,20,24,22,94,50,24,18,7,1,1.8600000143051147,88,12,276,238
15634046009344,E,Albany Park Ele,Albany Park Elementary,930,Delano Union Elementary,177,Kern,14,NA,100,513,394,20,119,Yes,Yes,Yes,Yes,100,57,No,9,20,31,NA,0,100,0,0,0,0,1,58,42,392,369
15634046009351,M,Cecil Avenue Mi,Cecil Avenue Middle,931,Delano Union Elementary,177,Kern,14,NA,100,526,512,14,14,Yes,No,No,No,100,40,No,8,NA,29,29,0,0,0,0,0,0,NA,64,36,1058,999
15634046009369,E,Del Vista Eleme,Del Vista Elementary,932,Delano Union Elementary,177,Kern,14,NA,100,602,534,13,68,Yes,Yes,Yes,Yes,99,43,No,9,20,29,NA,0,100,0,0,0,0,1,59,41,474,428
15634046009377,E,Fremont Element,Fremont Elementary,933,Delano Union Elementary,177,Kern,14,NA,100,473,409,20,64,Yes,Yes,Yes,Yes,100,67,No,18,20,32,NA,1,33,67,0,0,0,1.6699999570846558,59,44,531,507
15634046009393,E,Terrace Element,Terrace Elementary,934,Delano Union Elementary,177,Kern,14,NA,100,508,480,16,28,Yes,Yes,Yes,Yes,100,60,No,99,20,30,NA,0,0,0,0,0,0,NA,66,34,454,412
15634046009401,E,Valle Vista Ele,Valle Vista Elementary,935,Delano Union Elementary,177,Kern,14,NA,100,437,347,23,90,Yes,Yes,Yes,Yes,100,77,No,18,20,28,NA,1,20,60,20,0,0,2,41,59,436,386
15634046111355,E,Princeton Stree,Princeton Street Elementary,936,Delano Union Elementary,177,Kern,14,NA,100,591,528,14,63,Yes,Yes,Yes,Yes,100,58,No,8,20,31,NA,0,0,0,0,0,0,NA,68,32,488,453
15634046115471,M,Almond Tree Mid,Almond Tree Middle,937,Delano Union Elementary,177,Kern,14,NA,100,469,412,19,57,Yes,Yes,Yes,Yes,99,61,No,15,NA,30,28,2,50,43,7,0,0,1.5700000524520874,55,45,700,619
15634121531672,H,Delano High,Delano High,938,Delano Joint Union High,176,Kern,14,NA,99,453,447,18,6,No,No,No,No,47,37,NA,7,NA,NA,28,74,50,21,14,14,1,1.9600000381469727,68,28,2237,1248
15634206009419,E,Di Giorgio Elem,Di Giorgio Elementary,939,Di Giorgio Elementary,181,Kern,14,NA,98,559,589,11,-30,No,No,No,No,86,6,NA,13,17,26,NA,98,48,30,18,1,4,1.840000033378601,91,9,182,154
15634386009435,M,Edison Senior E,Edison Senior Elementary,940,Edison Elementary,199,Kern,14,NA,99,557,548,13,9,No,No,No,No,70,15,NA,21,NA,28,27,94,35,37,20,8,1,2.0299999713897705,79,21,439,328
15634386009443,E,Orangewood Elem,Orangewood Elementary,941,Edison Elementary,199,Kern,14,NA,100,608,536,13,72,Yes,Yes,Yes,Yes,63,11,NA,21,18,NA,NA,91,31,38,22,9,0,2.0799999237060547,78,22,197,149
15634616009492,E,Fairfax Element,Fairfax Elementary,942,Fairfax Elementary,228,Kern,14,NA,NA,524,483,16,41,Yes,No,No,No,86,23,NA,29,NA,27,27,95,46,38,10,5,2,1.7999999523162842,75,28,NA,457
15634616009500,E,Virginia Avenue,Virginia Avenue Elementary,943,Fairfax Elementary,228,Kern,14,NA,NA,536,471,16,65,Yes,Yes,Yes,No,85,37,NA,25,19,NA,NA,97,59,28,8,4,1,1.590000033378601,94,6,NA,185
15634796101588,E,Quailwood Eleme,Quailwood Elementary,944,Fruitvale Elementary,254,Kern,14,NA,99,784,767,2,17,Yes,Yes,Yes,Yes,23,0,NA,23,20,26,NA,64,1,11,43,21,24,3.559999942779541,95,5,267,207
15634796104004,M,Fruitvale Junio,Fruitvale Junior High,945,Fruitvale Elementary,254,Kern,14,NA,100,793,773,1,20,Yes,Yes,Yes,Yes,11,0,NA,19,NA,NA,24,96,2,15,39,26,18,3.430000066757202,77,23,627,534
15634796109987,E,Discovery Eleme,Discovery Elementary,946,Fruitvale Elementary,254,Kern,14,NA,100,862,822,NA,40,Yes,Yes,Yes,Yes,17,0,NA,15,19,31,NA,98,3,18,29,29,22,3.5,94,6,478,397
15634796112783,E,Columbia Elemen,Columbia Elementary,947,Fruitvale Elementary,254,Kern,14,NA,100,787,770,2,17,Yes,Yes,Yes,Yes,19,1,NA,20,20,30,NA,81,1,17,39,27,16,3.390000104904175,92,8,381,310
15634796112791,E,Endeavour Eleme,Endeavour Elementary,948,Fruitvale Elementary,254,Kern,14,NA,100,832,793,1,39,Yes,Yes,Yes,Yes,19,1,NA,17,19,32,NA,93,5,18,38,26,13,3.25,100,0,448,371
15634876009534,E,General Shafter,General Shafter Elementary,949,General Shafter Elem,262,Kern,14,NA,100,637,595,10,42,Yes,Yes,Yes,Yes,63,1,NA,12,20,27,NA,99,74,21,2,3,1,1.350000023841858,82,18,178,140
15635036009559,E,Fairview Elemen,Fairview Elementary,950,Greenfield Union Elem,278,Kern,14,NA,98,544,493,15,51,Yes,Yes,Yes,Yes,94,15,NA,19,18,23,NA,98,67,23,8,1,1,1.440000057220459,94,6,336,279
15635036009567,M,Greenfield Juni,Greenfield Junior High,951,Greenfield Union Elem,278,Kern,14,NA,100,562,533,13,29,Yes,No,No,No,79,26,NA,58,NA,25,27,79,28,30,26,14,2,2.319999933242798,95,2,834,693
15635036009575,E,McKee Elementar,McKee Elementary,952,Greenfield Union Elem,278,Kern,14,NA,99,619,569,12,50,Yes,Yes,Yes,Yes,71,16,NA,22,18,25,NA,97,36,45,13,5,1,1.8899999856948853,96,4,530,407
15635036009583,E,Plantation Elem,Plantation Elementary,953,Greenfield Union Elem,278,Kern,14,NA,100,559,562,12,-3,No,No,No,No,85,14,NA,25,20,26,NA,100,55,34,8,2,1,1.6200000047683716,97,3,385,312
15635036009591,E,Planz Elementar,Planz Elementary,954,Greenfield Union Elem,278,Kern,14,NA,100,587,529,14,58,Yes,Yes,Yes,Yes,78,11,NA,22,19,25,NA,92,30,38,23,8,1,2.109999895095825,91,9,445,350
15635036107783,E,McKee Primary,McKee Primary,955,Greenfield Union Elem,278,Kern,14,NA,99,724,678,6,46,Yes,Yes,Yes,Yes,70,4,NA,27,19,NA,NA,99,32,56,7,5,0,1.850000023841858,92,8,172,126
15635036108468,E,Kendrick (W.A.),Kendrick (W.A.) Elementary,956,Greenfield Union Elem,278,Kern,14,NA,99,680,606,10,74,Yes,Yes,Yes,Yes,61,8,NA,20,18,28,NA,96,33,42,18,7,1,2.0199999809265137,97,3,446,359
15635036111157,E,Palla (Raffaell,Palla (Raffaello) Elementary,957,Greenfield Union Elem,278,Kern,14,NA,99,631,562,12,69,Yes,Yes,Yes,Yes,72,8,NA,23,19,26,NA,89,31,34,24,9,2,2.1500000953674316,100,0,563,465
15635036112270,M,Ollivier (Leon ,Ollivier (Leon H.) Jr. High,958,Greenfield Union Elem,278,Kern,14,NA,100,624,595,10,29,Yes,Yes,Yes,Yes,57,12,NA,58,NA,28,25,98,24,32,27,14,3,2.390000104904175,90,10,1059,875
15635291530252,H,Arvin High,Arvin High,959,Kern Union High,334,Kern,14,NA,97,424,409,20,15,No,No,No,No,72,42,NA,5,NA,NA,27,87,64,19,10,6,1,1.600000023841858,92,25,1656,968
15635291530344,H,Stockdale High,Stockdale High,960,Kern Union High,334,Kern,14,NA,98,705,723,4,-18,No,No,No,No,5,2,NA,11,NA,NA,28,96,3,11,26,38,23,3.680000066757202,100,5,1514,936
15635291530369,H,Centennial High,Centennial High,961,Kern Union High,334,Kern,14,NA,97,649,646,8,3,No,No,No,No,14,5,NA,11,NA,NA,26,95,9,16,27,34,15,3.309999942779541,99,14,1523,936
15635291530385,H,Ridgeview High,Ridgeview High,962,Kern Union High,334,Kern,14,NA,96,547,582,11,-35,No,No,No,No,34,8,NA,9,NA,NA,28,89,17,27,30,21,5,2.7100000381469727,100,14,1717,1011
15635291530435,H,Kern Workforce ,Kern Workforce 2000 Academy (Charter),963,Kern Union High,334,Kern,14,NA,90,348,347,23,1,No,No,No,No,10,16,NA,67,NA,NA,NA,71,38,34,15,11,2,2.0399999618530273,NA,NA,475,196
15635291530708,H,Bakersfield Hig,Bakersfield High,964,Kern Union High,334,Kern,14,NA,98,581,609,10,-28,No,No,No,No,35,11,NA,10,NA,NA,29,95,17,19,23,29,12,3,96,10,2007,1252
15635291532290,H,East Bakersfiel,East Bakersfield High,965,Kern Union High,334,Kern,14,NA,95,496,518,14,-22,No,No,No,No,50,17,NA,11,NA,NA,26,84,26,26,22,19,7,2.5399999618530273,100,13,1453,823
15635291532605,H,Foothill High,Foothill High,966,Kern Union High,334,Kern,14,NA,97,506,497,15,9,No,No,No,No,55,18,NA,8,NA,NA,27,91,32,31,20,13,3,2.259999990463257,96,14,1467,864
15635291533330,H,Highland High,Highland High,967,Kern Union High,334,Kern,14,NA,98,527,522,14,5,No,No,No,No,47,18,NA,9,NA,NA,27,87,25,20,24,23,8,2.690000057220459,99,9,1356,826
15635291533538,H,Kern Valley Hig,Kern Valley High,968,Kern Union High,334,Kern,14,NA,97,529,588,11,-59,No,No,No,No,41,0,NA,6,NA,NA,23,97,8,20,45,21,5,2.9600000381469727,96,12,480,288
15635291534775,H,North High,North High,969,Kern Union High,334,Kern,14,NA,97,547,529,14,18,Yes,No,No,No,38,3,NA,8,NA,NA,26,93,15,31,33,17,4,2.6500000953674316,99,11,1467,858
15635291535087,H,Shafter High,Shafter High,970,Kern Union High,334,Kern,14,NA,98,468,473,16,-5,No,No,No,No,56,32,NA,5,NA,NA,26,93,39,28,17,12,3,2.119999885559082,95,16,938,579
15635291535392,H,South High,South High,971,Kern Union High,334,Kern,14,NA,97,481,508,15,-27,No,No,No,No,52,16,NA,9,NA,NA,27,96,28,30,24,15,3,2.3399999141693115,98,17,1751,992
15635291536606,H,West High,West High,972,Kern Union High,334,Kern,14,NA,100,511,530,14,-19,No,No,No,No,40,7,NA,13,NA,NA,27,84,15,29,32,20,4,2.690000057220459,100,13,1536,877
15635456009641,E,Kernville Eleme,Kernville Elementary,973,Kernville Union Elem,335,Kern,14,NA,98,742,696,5,46,Yes,Yes,Yes,Yes,57,0,NA,15,17,24,NA,100,11,33,32,13,12,2.8299999237060547,100,0,151,122
15635456009658,E,Wallace (Woodro,Wallace (Woodrow W.) Elementary,974,Kernville Union Elem,335,Kern,14,NA,99,655,565,12,90,Yes,Yes,Yes,Yes,65,0,NA,13,17,22,NA,98,14,36,32,11,6,2.5799999237060547,97,9,339,292
